Organization Name,Reported Date ,Date(s) of Breach,,,,,,,,,,,,,,,,,,,,
"Anthem, Inc. on behalf of its affiliated covered entities",12/31/2021,1/12/2021, 01/21/2021,,,,,,,,,,,,,,,,,,,
"Phase II Systems, d/b/a PARS",12/31/2021,03/31/2021, 05/24/2021,,,,,,,,,,,,,,,,,,,
"Xanitos, Inc.",12/30/2021,5/6/2021, 07/06/2021,,,,,,,,,,,,,,,,,,,
Barlow Respiratory Hospital,12/30/2021,08/21/2021, 09/01/2021,,,,,,,,,,,,,,,,,,,
The Marker Group Inc.,12/30/2021,9/3/2021,,,,,,,,,,,,,,,,,,,,
Visalia Unified School District,12/30/2021,1/1/2021, 06/03/2021,,,,,,,,,,,,,,,,,,,
"HOYA Optical Labs of America, Inc.",12/28/2021,03/15/2021,,,,,,,,,,,,,,,,,,,,
"Innovations Group, Inc., a subsidiary of UpHealth, Inc.",12/23/2021,10/27/2021, 10/28/2021, 10/29/2021, 10/30/2021,,,,,,,,,,,,,,,,,
"Fiondella, Milone & LaSaracina LLP, on behalf of relevant data owner(s)",12/23/2021,9/9/2021, 09/14/2021,,,,,,,,,,,,,,,,,,,
"Anderson McPharlin & Conners, LLP",12/23/2021,n/a,,,,,,,,,,,,,,,,,,,,
Health Net,12/22/2021,9/12/2021,,,,,,,,,,,,,,,,,,,,
City of Sebastopol,12/22/2021,04/28/2021, 05/11/2021,,,,,,,,,,,,,,,,,,,
Pro Wrestling Tees,12/22/2021,4/1/2021,,,,,,,,,,,,,,,,,,,,
University of Southern California,12/22/2021,09/28/2021,,,,,,,,,,,,,,,,,,,,
Monterey Peninsula Unified School District,12/21/2021,11/1/2021,,,,,,,,,,,,,,,,,,,,
Lincoln Financial Advisors Corporation,12/21/2021,03/19/2020,,,,,,,,,,,,,,,,,,,,
"BearTooth Mapping, Inc.",12/21/2021,11/13/2021, 11/19/2021,,,,,,,,,,,,,,,,,,,
"Tennis Warehouse, LLC",12/18/2021,10/1/2021,,,,,,,,,,,,,,,,,,,,
"Skate Warehouse, LLC",12/18/2021,10/1/2021,,,,,,,,,,,,,,,,,,,,
"Tackle Warehouse, LLC",12/18/2021,10/1/2021,,,,,,,,,,,,,,,,,,,,
"Running Warehouse, LLC",12/18/2021,10/1/2021,,,,,,,,,,,,,,,,,,,,
Homeowners Financial Group,12/17/2021,7/5/2007,,,,,,,,,,,,,,,,,,,,
Heirloom Roses,12/17/2021,02/24/2021, 10/26/2021,,,,,,,,,,,,,,,,,,,
"Index Fund Advisors, Inc.",12/17/2021,8/5/2021,,,,,,,,,,,,,,,,,,,,
"Ghilotti Bros., Inc. (“Ghilotti”)",12/16/2021,n/a,,,,,,,,,,,,,,,,,,,,
McGrath RentCorp,12/15/2021,07/17/2021,,,,,,,,,,,,,,,,,,,,
Sound Generations,12/15/2021,07/18/2021, 09/18/2021,,,,,,,,,,,,,,,,,,,
"Cirrus Asset Management, Inc. ",12/15/2021,11/11/2021, 11/12/2021,,,,,,,,,,,,,,,,,,,
Lozano Smith,12/14/2021,1/1/2020,,,,,,,,,,,,,,,,,,,,
California Physicians' Services d/b/a Blue Shield of California,12/13/2021,01/20/2021,,,,,,,,,,,,,,,,,,,,
"BioPlus Specialty Pharmacy Services, LLC",12/10/2021,10/25/2021, 11/11/2021,,,,,,,,,,,,,,,,,,,
County of Monterey ,12/10/2021,08/25/2021, 08/26/2021, 08/27/2021,,,,,,,,,,,,,,,,,,
The Travelers Indemnity Company,12/10/2021,4/7/2021, 11/17/2021,,,,,,,,,,,,,,,,,,,
"Allergy Partners, PLLC",12/9/2021,1/12/2021, 02/23/2021,,,,,,,,,,,,,,,,,,,
"Mor Furniture for Less, Inc.",12/9/2021,07/13/2021, 07/16/2021,,,,,,,,,,,,,,,,,,,
East Bay Paratransit,12/9/2021,8/6/2021, 09/19/2021,,,,,,,,,,,,,,,,,,,
"Green, Polack & Company",12/8/2021,n/a,,,,,,,,,,,,,,,,,,,,
Seneca Family of Agencies ,12/6/2021,08/25/2021, 08/26/2021, 08/27/2021,,,,,,,,,,,,,,,,,,
Seneca Family of Agencies ,12/6/2021,08/25/2021, 08/26/2021, 08/27/2021,,,,,,,,,,,,,,,,,,
Seneca Family of Agencies ,12/6/2021,08/25/2021, 08/26/2021, 08/27/2021,,,,,,,,,,,,,,,,,,
Seneca Family of Agencies ,12/6/2021,08/25/2021, 08/26/2021, 08/27/2021,,,,,,,,,,,,,,,,,,
Humana Inc,12/6/2021,08/25/2021,,,,,,,,,,,,,,,,,,,,
Nippon Life Insurance Company of America,12/3/2021,10/5/2021,,,,,,,,,,,,,,,,,,,,
Keolis Transit America,12/3/2021,1/4/2021, 05/23/2021,,,,,,,,,,,,,,,,,,,
American Council for International Studies ,12/3/2021,05/25/2021, 06/10/2021,,,,,,,,,,,,,,,,,,,
California Correctional Health Care Services,12/2/2021,9/3/2021,,,,,,,,,,,,,,,,,,,,
Planned Parenthood Los Angeles,11/30/2021,10/9/2021, 10/17/2021,,,,,,,,,,,,,,,,,,,
"Bansley and Kiener, L.L.P.",11/30/2021,08/20/2020, 12/01/2020,,,,,,,,,,,,,,,,,,,
"DNA Diagnostics Center, Inc.",11/29/2021,05/24/2021, 07/28/2021,,,,,,,,,,,,,,,,,,,
Lincare Holdings Inc.,11/24/2021,9/10/2021,,,,,,,,,,,,,,,,,,,,
Anthem Blue Cross,11/24/2021,10/1/2021, 11/04/2021,,,,,,,,,,,,,,,,,,,
"ON24, Inc.",11/23/2021,n/a,,,,,,,,,,,,,,,,,,,,
Local 2/Hospitality Industry Child and Elder Care Plan,11/23/2021,11/2/2021, 11/04/2021,,,,,,,,,,,,,,,,,,,
"GoDaddy.com, LLC",11/23/2021,9/6/2021, 09/07/2021, 09/08/2021, 09/09/2021, 09/10/2021, 09/11/2021, 11/07/2021,,,,,,,,,,,,,,
Astoria Company LLC,11/22/2021,01/19/2021,,,,,,,,,,,,,,,,,,,,
One Community Health,11/22/2021,04/19/2021, 04/20/2021,,,,,,,,,,,,,,,,,,,
Seneca Family of Agencies,11/19/2021,08/25/2021, 08/26/2021, 08/27/2021,,,,,,,,,,,,,,,,,,
"ACE Surgical Supply Co., Inc.",11/19/2021,06/29/2021, 07/08/2021,,,,,,,,,,,,,,,,,,,
"PAL Card Minnesota, LLC ",11/19/2021,09/28/2021,,,,,,,,,,,,,,,,,,,,
"Pawn America Minnesota, LLC",11/19/2021,09/28/2021,,,,,,,,,,,,,,,,,,,,
"Utah Imaging Associates, Inc.",11/18/2021,08/29/2021, 09/04/2021,,,,,,,,,,,,,,,,,,,
"Next Peak CPA, Inc.",11/18/2021,02/18/2021, 02/19/2021,,,,,,,,,,,,,,,,,,,
San Francisco Symphony,11/17/2021,9/7/2021,,,,,,,,,,,,,,,,,,,,
PUC National,11/17/2021,01/26/2021,,,,,,,,,,,,,,,,,,,,
"Alcon Vision, LLC",11/16/2021,10/5/2021,,,,,,,,,,,,,,,,,,,,
Quest Diagnostics,11/16/2021,10/29/2021,,,,,,,,,,,,,,,,,,,,
"Diode Dynamics, L.L.C.",11/16/2021,09/26/2020,,,,,,,,,,,,,,,,,,,,
"Traffic Solutions Corporation, doing business as Statewide Safety Systems",11/16/2021,n/a,,,,,,,,,,,,,,,,,,,,
California Pizza Kitchen,11/15/2021,09/15/2021,,,,,,,,,,,,,,,,,,,,
Olympus Corporation of the Americas,11/15/2021,10/10/2021,,,,,,,,,,,,,,,,,,,,
San Luis Obispo County YMCA,11/12/2021,07/19/2021,,,,,,,,,,,,,,,,,,,,
"The Urology Center of Colorado (""TUCC"")",11/10/2021,9/7/2021, 09/08/2021,,,,,,,,,,,,,,,,,,,
Valley Mountain Regional Center,11/9/2021,09/15/2021,,,,,,,,,,,,,,,,,,,,
"Vitreo-Retinal Medical Group, Inc. d/b/a Retinal Consultants Medical Group ",11/9/2021,7/12/2021,,,,,,,,,,,,,,,,,,,,
Cambro Manufacturing,11/9/2021,8/11/2021, 08/13/2021,,,,,,,,,,,,,,,,,,,
Lab Logistics,11/9/2021,7/12/2021,,,,,,,,,,,,,,,,,,,,
"AGI Publishing, Inc. (d/b/a Valley Yellow Pages)",11/8/2021,9/11/2021,,,,,,,,,,,,,,,,,,,,
Sea Mar Community Health Centers,11/5/2021,12/12/2020, 03/15/2021,,,,,,,,,,,,,,,,,,,
Seneca Family of Agencies,11/5/2021,08/25/2021, 08/26/2021, 08/27/2021,,,,,,,,,,,,,,,,,,
Lodi Unified School District,11/5/2021,09/20/2021, 10/03/2021,,,,,,,,,,,,,,,,,,,
University of Maryland Global Campus,11/5/2021,10/7/2021,,,,,,,,,,,,,,,,,,,,
"Strategic Benefits Advisors, Inc.",11/5/2021,09/18/2021,,,,,,,,,,,,,,,,,,,,
Maxim Healthcare Group,11/4/2021,10/1/2020, 12/04/2020,,,,,,,,,,,,,,,,,,,
"Terrier Media Buyer, Inc. dba Cox Media Group",11/2/2021,6/3/2021,,,,,,,,,,,,,,,,,,,,
GMGS Risk Management & Insurance Services,11/2/2021,12/21/2020,,,,,,,,,,,,,,,,,,,,
"Goldwater Bank, N.A.",10/29/2021,05/21/2021,,,,,,,,,,,,,,,,,,,,
"AGI Publishing, Inc. (d/b/a Valley Yellow Pages)",10/29/2021,9/11/2021,,,,,,,,,,,,,,,,,,,,
BPM LLP,10/28/2021,11/11/2020, 09/20/2021,,,,,,,,,,,,,,,,,,,
Gorilla Circuits,10/28/2021,08/18/2021, 09/15/2021,,,,,,,,,,,,,,,,,,,
"Anthem, Inc.",10/28/2021,8/3/2021,,,,,,,,,,,,,,,,,,,,
CalOptima,10/27/2021,8/10/2021,,,,,,,,,,,,,,,,,,,,
"Amin Dean, CPA",10/27/2021,7/8/2021,,,,,,,,,,,,,,,,,,,,
"Primary Residential Mortgage, Inc. (“PRMI”)",10/27/2021,8/8/2021,,,,,,,,,,,,,,,,,,,,
Blue Shield of California,10/27/2021,08/25/2021,,,,,,,,,,,,,,,,,,,,
Employee Benefits Administration & Management (“EBA&M”),10/26/2021,6/4/2021, 08/16/2021,,,,,,,,,,,,,,,,,,,
Seneca Family of Agencies,10/26/2021,08/25/2021, 08/26/2021, 08/27/2021,,,,,,,,,,,,,,,,,,
"Community Medical Centers, Inc.",10/26/2021,10/10/2021,,,,,,,,,,,,,,,,,,,,
Blue Cross of California,10/26/2021,08/25/2021,,,,,,,,,,,,,,,,,,,,
Foundation for Medical Care of Merced County,10/26/2021,8/3/2021,,,,,,,,,,,,,,,,,,,,
"Sheridan Production Company III, LLC",10/25/2021,08/14/2021, 08/19/2021,,,,,,,,,,,,,,,,,,,
Centinela Valley Union High School District,10/21/2021,06/22/2021,,,,,,,,,,,,,,,,,,,,
"SCUF Gaming International, LLC",10/21/2021,02/23/2021,,,,,,,,,,,,,,,,,,,,
"Wallick & Volk, Inc.",10/20/2021,8/2/2021, 08/05/2021,,,,,,,,,,,,,,,,,,,
Valley Truck and Tractor Company,10/20/2021,05/13/2021, 06/17/2021,,,,,,,,,,,,,,,,,,,
"J.B. Hunt Transport, Inc.",10/20/2021,08/17/2020, 07/02/2021,,,,,,,,,,,,,,,,,,,
PracticeMax Inc.,10/19/2021,04/17/2021, 05/05/2021,,,,,,,,,,,,,,,,,,,
Carnival Corporation and plc,10/18/2021,3/12/2021,,,,,,,,,,,,,,,,,,,,
Buddhist Tzu Chi Foundation,10/18/2021,n/a,,,,,,,,,,,,,,,,,,,,
World Travel Holdings,10/18/2021,7/1/2021,,,,,,,,,,,,,,,,,,,,
"University Medical Center of Southern Nevada (""UMC"")",10/15/2021,06/14/2021,,,,,,,,,,,,,,,,,,,,
"Anthem, Inc.",10/15/2021,5/1/2021, 06/30/2021,,,,,,,,,,,,,,,,,,,
"Elevated Title, LLC",10/14/2021,07/21/2021,,,,,,,,,,,,,,,,,,,,
Academic Therapy Publications,10/14/2021,n/a,,,,,,,,,,,,,,,,,,,,
"Stone Pigman Walther Wittmann, L.L.C.",10/14/2021,02/24/2021,,,,,,,,,,,,,,,,,,,,
The Public School and Education Employees Retirement Systems of Missouri,10/14/2021,9/11/2021,,,,,,,,,,,,,,,,,,,,
Newbridge Securities Corporation,10/14/2021,02/24/2021, 03/18/2021,,,,,,,,,,,,,,,,,,,
American Osteopathic Association,10/13/2021,06/25/2020,,,,,,,,,,,,,,,,,,,,
PetroQuest Energy LLC,10/13/2021,4/9/2021,,,,,,,,,,,,,,,,,,,,
National Community Renaissance of California,10/12/2021,1/1/2021, 04/10/2021,,,,,,,,,,,,,,,,,,,
"Timios, Inc.(“Timios”)",10/11/2021,07/19/2021, 07/25/2021,,,,,,,,,,,,,,,,,,,
"ReproSource Fertility Diagnostics, Inc.",10/8/2021,8/8/2021,,,,,,,,,,,,,,,,,,,,
"Terrier Media Buyer, Inc. dba Cox Media Group",10/8/2021,6/3/2021,,,,,,,,,,,,,,,,,,,,
Pacific City Bank,10/7/2021,08/19/2021, 08/30/2021,,,,,,,,,,,,,,,,,,,
Buddhist Tzu Chi Education Foundation,10/6/2021,07/15/2021,,,,,,,,,,,,,,,,,,,,
Synchrony Bank,10/5/2021,07/31/2021,,,,,,,,,,,,,,,,,,,,
"Pulmuone Foods USA, Inc.",10/1/2021,08/16/2021,,,,,,,,,,,,,,,,,,,,
"The Neiman Marcus Group, LLC (“NMG” or the “Company”)",09/30/2021,5/2/2020, 05/17/2020,,,,,,,,,,,,,,,,,,,
"Coinbase, Inc. ",09/27/2021,03/17/2021,,,,,,,,,,,,,,,,,,,,
"MTG USA, Inc.",09/26/2021,06/25/2021, 06/15/2021,,,,,,,,,,,,,,,,,,,
Golden Entertainment,09/24/2021,01/24/2021,,,,,,,,,,,,,,,,,,,,
Forward Air Corporation,09/24/2021,12/15/2020,,,,,,,,,,,,,,,,,,,,
"Innovative Construction Solutions (""ICS"")",09/22/2021,06/17/2021, 06/26/2021,,,,,,,,,,,,,,,,,,,
"Navistar, Inc.",09/21/2021,05/20/2021,,,,,,,,,,,,,,,,,,,,
"Epik Holdings, Inc.",09/20/2021,09/13/2021,,,,,,,,,,,,,,,,,,,,
"PFU America, Inc.",09/17/2021,11/30/2020, 07/27/2021,,,,,,,,,,,,,,,,,,,
Sugar Steel Corporation,09/17/2021,12/8/2020, 12/22/2020,,,,,,,,,,,,,,,,,,,
B&B Transport Inc.,09/16/2021,9/8/2021,,,,,,,,,,,,,,,,,,,,
"Metabolic Maintenance Products, Inc.",09/16/2021,5/1/2020, 07/09/2021,,,,,,,,,,,,,,,,,,,
King’s Seafood Company,09/15/2021,6/4/2021,,,,,,,,,,,,,,,,,,,,
Eastern Los Angeles Regional Center,09/13/2021,07/15/2021,,,,,,,,,,,,,,,,,,,,
Dick Blick Holdings,09/13/2021,3/11/2020, 12/15/2020,,,,,,,,,,,,,,,,,,,
"HCI, LLC",09/13/2021,9/2/2020,,,,,,,,,,,,,,,,,,,,
Carpenter Co,9/11/2021,03/18/2021,,,,,,,,,,,,,,,,,,,,
Nations Lending Corporation,9/10/2021,07/26/2021,,,,,,,,,,,,,,,,,,,,
Buddhist Tzu Chi Medical Foundation,9/9/2021,07/15/2021,,,,,,,,,,,,,,,,,,,,
"Cedarlane Natural Foods, Inc.",9/9/2021,05/20/2021,,,,,,,,,,,,,,,,,,,,
UC San Diego Health,9/9/2021,12/2/2020, 04/08/2021,,,,,,,,,,,,,,,,,,,
California Massage Therapy Council,9/8/2021,11/4/2020,,,,,,,,,,,,,,,,,,,,
"Resource Anesthesiology Association of California, a Medical Corporation",9/5/2021,7/8/2021,,,,,,,,,,,,,,,,,,,,
"K and B Surgical Center, LLC",9/3/2021,03/24/2021, 03/30/2021,,,,,,,,,,,,,,,,,,,
Smile Brands Inc.,9/3/2021,04/23/2021, 04/24/2021,,,,,,,,,,,,,,,,,,,
CA Department of State Hospitals - Coalinga,9/3/2021,08/27/2019, 10/12/2016, 07/21/2013,,,,,,,,,,,,,,,,,,
"Sequoia Concepts, Inc.",9/2/2021,06/28/2021, 07/01/2021,,,,,,,,,,,,,,,,,,,
County of Los Angeles Fire Department,9/1/2021,07/13/2021,,,,,,,,,,,,,,,,,,,,
"DuPage Medical Group, Ltd.",9/1/2021,7/12/2021, 07/13/2021,,,,,,,,,,,,,,,,,,,
"MFA Financial, Inc.",9/1/2021,3/10/2021,,,,,,,,,,,,,,,,,,,,
"Career Group, Inc.",08/31/2021,06/28/2021,,,,,,,,,,,,,,,,,,,,
"Healthpointe Medical Group, Inc.",08/30/2021,6/9/2021,,,,,,,,,,,,,,,,,,,,
Mater Dei High School,08/30/2021,1/1/2021, 03/04/2021,,,,,,,,,,,,,,,,,,,
"SmartStart Employment Screening, Inc.",08/27/2021,05/13/2020,,,,,,,,,,,,,,,,,,,,
LifeLong Medical Care,08/27/2021,11/24/2020,,,,,,,,,,,,,,,,,,,,
"SAC Wireless, LLC",08/26/2021,04/13/2021,,,,,,,,,,,,,,,,,,,,
T-Mobile USA,08/25/2021,07/22/2021,,,,,,,,,,,,,,,,,,,,
San Andreas Regional Center,08/25/2021,7/3/2021,,,,,,,,,,,,,,,,,,,,
SafetyCall International,08/24/2021,11/24/2020, 12/03/2020,,,,,,,,,,,,,,,,,,,
County of Los Angeles Fire Department,08/24/2021,07/13/2021,,,,,,,,,,,,,,,,,,,,
"American Freight, LLC and its related subsidiaries and affiliates, including American Freight Outlet Stores, LLC ",08/24/2021,11/24/2020, 12/09/2020,,,,,,,,,,,,,,,,,,,
"Syufy Enterprises, LP",08/24/2021,9/7/2020, 09/15/2020,,,,,,,,,,,,,,,,,,,
"Pendrick Capital Partner Holdings, LLC",08/23/2021,4/12/2021, 05/14/2021,,,,,,,,,,,,,,,,,,,
Santa Clara Valley Transportation Authority,08/23/2021,03/25/2021,,,,,,,,,,,,,,,,,,,,
"H Mart, Inc. ",08/20/2021,n/a,,,,,,,,,,,,,,,,,,,,
Fresno Unified School District,08/19/2021,n/a,,,,,,,,,,,,,,,,,,,,
Walter's Automotive Group,08/19/2021,6/9/2021, 06/16/2021,,,,,,,,,,,,,,,,,,,
"The Dixie Group, Inc. ",08/18/2021,4/9/2021, 04/19/2021,,,,,,,,,,,,,,,,,,,
WSSC Water,08/17/2021,n/a,,,,,,,,,,,,,,,,,,,,
"Secure Administrative Solutions, LLC (""SAS"")",08/17/2021,04/18/2021, 05/25/2021,,,,,,,,,,,,,,,,,,,
"BackNine Insurance and Financial Services, Inc.",08/17/2021,04/23/2015, 07/12/2021,,,,,,,,,,,,,,,,,,,
Sierra Joint Community College District,08/13/2021,n/a,,,,,,,,,,,,,,,,,,,,
The Research Foundation for the State University of New York,08/13/2021,05/22/2021, 07/09/2021,,,,,,,,,,,,,,,,,,,
"Academic HealthPlans, Inc.",08/13/2021,8/2/2020, 10/02/2020,,,,,,,,,,,,,,,,,,,
"JPMorgan Chase Bank, N.A.",08/13/2021,05/24/2021,,,,,,,,,,,,,,,,,,,,
On Lok Senior Health Services,8/12/2021,05/14/2021, 05/14/2021,,,,,,,,,,,,,,,,,,,
"Jim Provencher (""the Firm"")",8/11/2021,9/8/2020,,,,,,,,,,,,,,,,,,,,
"Morgan Truck Body, LLC",8/11/2021,07/16/2021,,,,,,,,,,,,,,,,,,,,
"Bath & Body Works Direct, Inc.",8/10/2021,06/20/2021, 06/25/2021,,,,,,,,,,,,,,,,,,,
Abode Services,8/9/2021,03/16/2021, 04/15/2021,,,,,,,,,,,,,,,,,,,
"Ibex Global Solutions, Inc. (“Ibex”)",8/6/2021,07/27/2020,,,,,,,,,,,,,,,,,,,,
SafetyCall International,8/6/2021,11/24/2020, 12/03/2020,,,,,,,,,,,,,,,,,,,
"MLD Mortgage, Inc.",8/6/2021,7/7/2021,,,,,,,,,,,,,,,,,,,,
NTS Holding Corporation ,8/5/2021,11/2/2020,,,,,,,,,,,,,,,,,,,,
University of Kentucky,8/5/2021,1/8/2021, 02/06/2021,,,,,,,,,,,,,,,,,,,
Transtar Industries Inc.,8/4/2021,1/9/2021,,,,,,,,,,,,,,,,,,,,
"Transamerica Retirement Solutions, LLC",8/4/2021,6/4/2021, 06/05/2021, 06/06/2021, 06/07/2021, 06/08/2021, 06/09/2021, 06/10/2021, 06/11/2021, 06/12/2021, 06/13/2021, 06/14/2021,,,,,,,,,,
"Tuff Shed, Inc.",8/3/2021,2/10/2021,,,,,,,,,,,,,,,,,,,,
"LERETA, LLC",8/2/2021,05/21/2020,,,,,,,,,,,,,,,,,,,,
Buddhist Tzu Chi Foudation,8/2/2021,07/15/2021,,,,,,,,,,,,,,,,,,,,
"Divvy Up, Inc.",07/30/2021,5/10/2021, 06/18/2021,,,,,,,,,,,,,,,,,,,
WideOrbit LLC,07/30/2021,7/1/2020,,,,,,,,,,,,,,,,,,,,
Ryan Specialty Group,07/30/2021,4/4/2021, 04/20/2021,,,,,,,,,,,,,,,,,,,
"La Jolla Professional Insurance Associates, Inc.",07/30/2021,n/a,,,,,,,,,,,,,,,,,,,,
Motor Trend Group LLC,07/29/2021,06/19/2021,,,,,,,,,,,,,,,,,,,,
"Spiezle Group, Inc. ",07/29/2021,n/a,,,,,,,,,,,,,,,,,,,,
"A2Z Diagnostics, LLC",07/28/2021,2/2/2021, 04/02/2021,,,,,,,,,,,,,,,,,,,
D&K Engineering Inc.,07/27/2021,05/19/2021,,,,,,,,,,,,,,,,,,,,
Transform SR Holding Management LLC,07/26/2021,6/3/2021, 06/15/2021,,,,,,,,,,,,,,,,,,,
Specialty Tax & Bookkeeping Services,07/26/2021,3/1/2021,,,,,,,,,,,,,,,,,,,,
Inner City Law Center,07/23/2021,8/4/2020, 01/26/2021,,,,,,,,,,,,,,,,,,,
G2 Insurance Services,07/23/2021,2/2/2021,,,,,,,,,,,,,,,,,,,,
Savory Spice,07/23/2021,4/5/2018, 03/27/2021,,,,,,,,,,,,,,,,,,,
"Resort Data Processing, Inc.",07/22/2021,1/1/2019, 02/22/2021,,,,,,,,,,,,,,,,,,,
"Hyphen, LLC",07/21/2021,03/13/2021,,,,,,,,,,,,,,,,,,,,
CMC Tax Services,07/20/2021,11/30/2020, 05/17/2021,,,,,,,,,,,,,,,,,,,
SafetyCall International,07/19/2021,11/24/2020, 12/03/2020,,,,,,,,,,,,,,,,,,,
Davaco LP,07/19/2021,6/11/2021,,,,,,,,,,,,,,,,,,,,
SN Servicing Corporation,07/16/2021,n/a,,,,,,,,,,,,,,,,,,,,
eJuice Direct ,07/16/2021,08/15/2020, 08/25/2020, 07/07/2021,,,,,,,,,,,,,,,,,,
Sierra Nevada Primary Care Physicians,07/16/2021,n/a,,,,,,,,,,,,,,,,,,,,
California Student Aid Commission,07/16/2021,7/8/2021,,,,,,,,,,,,,,,,,,,,
"Guidehouse on behalf of Community Memorial Health System located in Ventura, CA",07/16/2021,01/20/2021,,,,,,,,,,,,,,,,,,,,
Cohen Milstein Sellers & Toll PLLC,07/15/2021,01/23/2021,,,,,,,,,,,,,,,,,,,,
Birtcher Anderson & Davis Associates Inc,7/12/2021,n/a,,,,,,,,,,,,,,,,,,,,
"Direct Energy LP, together with its affiliates First Choice Power, LLC and Home Warranty of America, Inc.",7/12/2021,11/3/2020,,,,,,,,,,,,,,,,,,,,
"CSI Financial Services, LLC (“ClearBalance”)",7/9/2021,3/8/2021,,,,,,,,,,,,,,,,,,,,
"Guess?, Inc.",7/9/2021,2/2/2021, 02/23/2021,,,,,,,,,,,,,,,,,,,
CNA Financial Corporation,7/8/2021,3/5/2021,,,,,,,,,,,,,,,,,,,,
"Forefront Management, LLC and Forefront Dermatology, S.C.",7/8/2021,05/28/2021, 06/04/2021,,,,,,,,,,,,,,,,,,,
Hello Housing,7/7/2021,11/24/2020, 12/03/2020,,,,,,,,,,,,,,,,,,,
"Stride, Inc.",7/6/2021,11/4/2020, 11/19/2020,,,,,,,,,,,,,,,,,,,
VotePlus10 Inc. DBA Impactree,7/2/2021,7/1/2021,,,,,,,,,,,,,,,,,,,,
Morgan Stanley,7/2/2021,01/20/2021,,,,,,,,,,,,,,,,,,,,
"The Paradies Shops, LLC ",7/2/2021,10/8/2020, 10/13/2020,,,,,,,,,,,,,,,,,,,
"Discovery Practice Management, Inc. ",7/1/2021,06/22/2020, 06/26/2020,,,,,,,,,,,,,,,,,,,
Nevada Restaurant Services Inc.,7/1/2021,01/16/2021,,,,,,,,,,,,,,,,,,,,
Professional Business Systems d/b/a Practicefirst Medical Management Solutions and PBS Medcode Corp.,7/1/2021,12/25/2020,,,,,,,,,,,,,,,,,,,,
Arthur J. Gallagher & Co.,06/30/2021,7/2/2020, 09/26/2020,,,,,,,,,,,,,,,,,,,
Hudson Envelope of New Jersey Corp. ,06/30/2021,06/25/2020, 01/11/2021,,,,,,,,,,,,,,,,,,,
Marsh McLennan,06/30/2021,04/22/2021,,,,,,,,,,,,,,,,,,,,
