Organization Name,Date(s) of Breach,Reported Date,Number of Potentially Affected Delaware Residents
"Grandizio Wilkins Little and Matthews, LLP",05/28/21,17/12/21,2288
Jim Koons Automotive Company,05/19/21,21/12/21,1326
Running Warehouse LLC,10/1/21,16/12/21,1532
Tennis Warehouse LLC,10/1/21,16/12/21,1820
Tackle Warehouse LLC,10/1/21,16/12/21,1416
Skate Warehouse LLC,10/1/21,16/12/21,719
Arthur Hall Insurance,01/26/21,14/12/21,619
Easterseals Delaware and Maryland’s Eastern Shore (“Easterseals”),4/25/21,2/12/21,13795
Astoria Company LLC,01/19/21,29/1/21,2056
"GoDaddy.com, LLC",9/6/21,7/11/21,1107
California Pizza Kitchen,09/15/21,15/11/21,564
BPG Real Estate Services,08/29/21,5/11/21,1709
"J.B. Hunt Transport, Inc.",08/17/20,20/10/21,1287
American Pool Enterprises Inc.,8/1/21,27/9/21,792
"The Neiman Marcus Group, LLC",9/9/21,30/9/21,30022
"Horizon House, Inc.",9/3/21,17/9/21,815
T-Mobile,8/17/21,19/8/21,Unknown
Ibex Global Solutions Inc.,7/11/21,6/8/21,815
Transform SR Holding Management LLC,6/24/21,26/7/21,Unknown
WSSC Water,5/24/21,30/7/21,Unknown
Spiezle Group Inc,6/25/21,30/7/21,6
Motor Trend Group,7/16/21,30/7/21,Unknown
"The County of Delaware, PA",6/3/21,1/7/21,52
Doherty and Associates,5/5/21,2/7/21,1565
Arthur J. Gallagher & Co.,6/3/21,9/7/21,12367
"Herf Jones, LLC",5/31/21,15/6/21,Not provided
Public Allies,12/17/20,7/6/21,518
"Progrexion ASG, Inc.",4/8/21,9/6/21,2
"Volkswagen Group of America, Inc.",3/10/21,11/6/21,533
"USA Waste-Management Resources, LLC",5/4/21,28/5/21,1023
"NEC Networks, LLC d/b/a CaptureRx submitting on behalf of Westside Family Healthcare, Inc.",3/30/21,28/5/21,130
"Carma Laboratories, Inc.",5/10/21,25/5/21,1
Accucom Corporation,5/14/21,27/5/21,1093
Insurance Technologies Corporation,2/27/21,10/5/21,17021
"Phillip Galyen, PC",3/1/21,13/5/21,Unknown
"ClearVoiceResearch.com, LLC",4/17/21,29/4/21,2600
"Dental Care Alliance, LLC (Supplemental)",10/11/20,7/12/20,7922
"On Q Financial, Inc.",2/24/21,1/4/21,900
MHNext LLC,2/1/21,16/3/21,2075
Walmart,1/20/21,5/3/21,799
EyeMed for Combined Insurance Co. of America,6/24/20,12/10/20,1787
EyeMed for Fidelity Security Life Insurance Company,6/24/20,28/1/21,2341
Elwyn,10/9/19,11/2/21,1458
Carnival (Addendum),8/15/20,4/12/20,729
Ardent Credit Union,6/5/20,28/1/21,627
National Western Life Insurance Company,8/7/20,25/1/21,585
Krapf Group,11/23/20,15/1/21,1570
"National Board for Certified Counselors, Inc.",8/31/20,12/1/21,880
Zoetop Business Co. Ltd.,Unknown,30/12/20,24620
Dassault Falcon Jet Corp. and Subsidiaries,6/19/20,31/12/20,1291
Dickeys Barbecue Pit,6/9/19,29/12/20,Unknown
Beebe Medical Center,2/7/20,24/12/20,50376
AFTRA Retirement Fund,10/24/19,16/12/20,531
Aetna,6/24/20,11/12/20,1896
"Dental Care Alliance, LLC",9/18/20,7/12/20,6622
Wilmington Friends School,5/20/20,30/11/20,1907
Archmere Academy,5/20/20,30/10/20,627
"The Long and Foster Companies, Inc. (Addendum)",8/22/20,1/12/20,314
Crozer-Keystone Health System (Addendum),6/14/20,1/9/20,6792
Steel Partners Holdings (Addendum),4/18/20,29/6/20,706
Crozer-Keystone Health System,6/14/20,1/9/20,6792
VF Outdoor dba The North Face,10/8/20,5/11/20,59
Sam’s Club,9/17/20,21/10/20,479
Carnival Corporation and PLC,6/4/20,13/10/20,5
Pierce College,2/13/20,4/9/20,597
Polycistic Kidney Disease Foundation (PKD),5/1/20,4/9/20,1579
"Live Auctioneers, LLC",6/19/20,11/7/20,6438
Mercy Health,4/18/20,18/9/20,1504
"FabFitFun, Inc.",4/26/20,15/9/20,3287
America’s Leading Financce,6/4/20,25/9/20,1
