Name of Company or Organization,Date of Notification,Date of the Breach,IN Affected,Total Affected
80'steescom,,,,
ABAcquisitionLLC,9/29/2014,8/27/2014,,
ABAcquisitionLLC,8/15/2014,6/22/2014,,
ABMParkingServices,12/12/2014,9/29/2014,,
ABMParkingServicesInc,7/3/2014,2/7/2014,1,
AccurateBackgroundInc,3/21/2014,2/28/2014,1,139
AcostaInc,12/12/2014,11/10/2014,3716,218160
AdvancedDataProcessingInc,10/8/2014,,3,
AECOMTechnology,7/3/2014,5/15/2014,241,
AffinityGaming-SecurityBreach,5/19/2014,12/7/2013,,
AFLAC,1/15/2014,11/25/2013,1,1
AlaskaCommunicationsSystems,2/20/2014,1/27/2014,5,3711
AllianceWorkplaceSolutionsLLC,10/23/2014,9/19/2014,2226,9876
AllianzLifeInsuranceCompanyofNorthAmerica,9/10/2014,2/18/2014,1,1
AllianzLifeInsuranceCoofNorthAmerica,4/11/2014,4/1/2013,15,681
AllstateInsuranceCompany-SecurityBreach,10/31/2014,8/15/2014,1,1
AmericanAthleticConference,10/30/2014,9/1/2013,8,282
AmericanDentalAssociation,5/7/2014,4/30/2014,2,19
AmericanHealthInformationManagementAssoc,4/2/2014,9/1/2013,3,259
AmericanHealthNetworkInc-SecurityBreach,10/21/2014,10/16/2014,1,4
AmericanNationalInsuranceCompany,2/14/2014,9/1/2013,3,5056
AmericanPublicUniversitySystem,7/18/2014,6/30/2014,1,18
AmericanResidentialCommunitiesManagementServices,1/29/2014,1/17/2014,4,89
AmericanResidualsandTalentInc,12/2/2014,10/18/2014,92,84227
AmeripriseFinancial,5/15/2014,4/30/2014,1,1
AmeripriseFinancialInc,9/4/2014,,4,4
AMResorts,12/15/2014,5/1/2014,10,1398
AndersonMurisonInc,8/7/2014,6/1/2014,7,5572
ApexSystemsInc,1/15/2014,12/1/2013,1,1555
APiGroupInc,12/5/2014,11/17/2014,68,3194
AscenaRetailGroupInc,12/17/2014,10/10/2014,8,
AscensusInc-DataBreach,6/16/2014,6/5/2014,12,12
AspireInc,11/26/2014,11/7/2014,1474,
AssetMarketingServicesLLC,10/14/2014,9/18/2014,46,
AssistedLivingConcepts,2/26/2014,12/14/2013,5394,43600
AT&T-SecurityBreach,6/3/2014,1/1/2013,1,1
AtlanticAutomotiveCorpdbaMileOneAutomotive,6/24/2014,3/5/2014,57,6527
ATT-Breach Notification,10/2/2014,8/5/2014,8,
ATT-SecurityBreach,6/10/2014,4/9/2014,1,1
ATT-SecurityBreach2,6/18/2014,10/1/2013,1,
AuburnUniversity,3/19/2014,10/21/2013,39,13698
