Name.of.Company,Date.of.the.Breach,Date.of.Notification,ME.Affected
"LJCooper Capital Management, LLC d/b/a LJCooper Wealth Advisors, 742 N 530 E, Orem, UT 84097",2018-09-18,2018-10-29,1
"Star Title Partners of Palm Harbor, LLC, 30522 US Hwy 19 N. Ste. 101, Palm Harbor, FL 34684",2018-06-04,2018-10-26,4
"Cenera Funding, Inc., 3600 Benbrook Highway, Fort Worth, TX  76116",2018-09-29,2018-10-25,1
Aptos Inc,2018-09-01,2018-10-24,512
British Airways,2018-09-01,2018-10-24,1
City Lights Collectibles,2018-09-01,2018-10-24,1
Dutch Gardens,2018-09-01,2018-10-24,3
Marian Helpers Corporation,2018-09-01,2018-10-24,10
"Village People, LLC, 2206 21st Avenue South, Nashville, TN 37212",2018-08-14,2018-10-23,2
"Tallahassee Memorial Healthcare Inc., 1300 Miccosukee Road, Tallahassee, FL 32308",2018-05-01,2018-10-17,1
"Toyota Industries North America, Inc., 3030 Barker Drive, Columbus, IN  47201",2018-08-15,2018-09-28,1
"Wintrust Financial Corporation, 9700 W. Higgins Road, Rosemont, IL 60018",2018-08-22,2018-09-28,7
"YRC Worldwide Inc., 10990 Roe Ave, Overland, Park, KS 66211",2018-07-24,2018-09-21,27
Arby's,2018-08-01,2018-09-17,3
Automated Pet Care Products,2018-08-01,2018-09-17,3
Braintree PSP,2018-08-01,2018-09-17,1
Rainbow Resource Center,2018-08-01,2018-09-17,22
"Air Canada, ZIP 1276, 730 boul, Cote Vertu West, Dorval, QC H4S 1Y9",2018-08-22,2018-09-14,2
"Roadrunner Transportation Systems, Inc., 1431 Opus Place, Suite 530; Downers Grove, IL 60515",2018-04-01,2018-09-10,153
"Sanibel Captiva Trust Company, 2460 Palm Ridge Road, Sanibel, FL 33957",2018-07-30,2018-09-06,5
"Kyocera Document Solutions New England, Inc., One Jewel Drive, Wilmington, MA 018878",2018-08-30,2018-09-04,31
"Humana Inc, 500 W Main Street, Louisville, KY 40202",2018-08-17,2018-08-27,2
"REEB Millwork Corporation, 1000 Maloney Circle, Bethlehem, PA 18015",2018-06-08,2018-08-23,14
"Health Management Concepts Inc., 181 Commodore Drive, Jupiter, FL 33477",2018-07-19,2018-08-22,25
"Animoto Inc., 333 Kearny Street, 6th Floor, San Francisco, CA 94108",2018-07-10,2018-08-16,8642
Tommie Copper Mount Kisco,2018-07-01,2018-08-15,10
wwwtommiecoppercomMt.Kisco,2018-07-01,2018-08-15,6
"Loyola University of Chicago, 820 N. Michigan Avenue, Chicago, IL 60611",2018-07-17,2008-07-30,4
"Concannon Miller & Co. P.C., 1525 Valley Center Parkway, Suite 300, Bethlehem, PA 18017",2018-02-09,2018-07-26,2
"Eastern Maine Healthcare Systems (EMHS), 43 Whiting Hill Road, Brewer, ME 04412",2018-06-10,2018-07-25,11
"Town of Surry, P.O. Box 147, 741 North Bend Road, Surry, ME 04684",2018-07-22,2018-07-23,NA
"Boys Town National Research Hospital, 14100 Crawford Street, Boys Town, NE 68010",2018-05-23,2018-07-20,1
Anastazia Beverly  Hills,2018-06-01,2018-07-17,2
Goplae San Francisco,2018-06-01,2018-07-17,1
Mandukacom,2018-06-01,2018-07-17,4
Strawberry Hill Povitica Co.,2018-06-01,2018-07-17,3
Vistaprint USD,2018-06-01,2018-07-17,157
"DSCI, LLC dba TPx Communications, 515 S. Flower Street, 45th Floor, los Angeles, CA 90071",2018-05-23,2018-07-17,5
"S.J. Gorowitz Accounting & Tax Services, P.C.",2018-05-01,2018-07-06,4
"PlainsCapital Bank, 2911 Turtle Creek Blvd, Dallas, TX 75219",2018-05-23,2018-06-29,2
Toyo Tire Holdings of Americas Inc.,2018-03-12,2018-07-27,1
"Humana Inc, 500 W Main Street, Louisville, KY 40202",2018-06-03,2018-06-22,1
"DiCicco, Gulman & Company, LLP, 150 Presidential Way, Suite 510, Woburn, MA 01801",2018-05-10,2018-06-21,45
"The Educational Employees Supplementary Retirement System of Fairfax County, 8001 Forbes Place, Suite 300, Springfield, VA 22151",2018-05-07,2018-06-14,6
"Ithica College, 316 Peggy Ryan Williams Center, Ithaca, NY 14850",2018-03-08,2018-06-13,5
"HealthEquity, Inc.",2018-04-13,2018-06-13,22
"OFD Foods, LLC",2018-04-12,2018-06-13,5
"Guaranteed Rate, Inc., 3940 N. Ravenswood, Chicago, IL 60613",2017-11-01,2018-06-12,3
"Marion County Bank, 800 Main Street, Pella, IA 50219",2018-04-05,2018-06-11,4
"Weichert Co., Morris Plains, NJ",2017-12-20,2018-06-11,4
"Highgate Hotel L.P., 545 E. John Carpenter Freeway, Suite 1400, Irving, TX 75062",2018-01-17,2018-06-11,1
"International Management Advisors, Ltd, 1360 East 9th Street, Suite 860, Cleveland, OH 44114",2018-04-26,2018-06-08,2
"Elmcroft Senior Living, Inc., 2807 Allen Street, #834, Dallas, TX 75204",2018-05-10,2018-06-08,28
"Creative Bus Sales, Inc., 14740 Ramona Ave., Chino, CA 91710",2018-05-25,2017-06-08,2
"Weil, Akman, Baylin & Coleman, P.A., 201 W. Padonia Road, Suite 600, Timonium, MD 21093",2018-03-23,2018-06-07,3
"Systeme Software, Inc., 177 Sandy Hill Road, Bovertown, PA 19512",2018-05-07,2018-06-07,19
"Bath Housing Authority, 80 Congress Avenue, Bath, ME 04530",2018-04-25,2018-06-06,128
"Humana Inc, 500 W Main Street, Louisville, KY 40202",2018-01-17,2018-06-04,13
"Uno Alla Volta, LLC, 242 Branford Road, North Branford, CT 06471",2018-04-18,2018-05-29,5
"Member Business Services, LLC dba Commercial Alliance, 1607 E. Big Beaver, Suite 201, Troy, MI 48084",2018-01-26,2018-05-25,4
"Jarrett & Luitjens, PLC, 1795 Williston Road, Suite 125, South Burlington, VT 05403",2018-04-19,2018-05-24,11
"Employee Benefits Corporation o/b/o InterVarsity Christian Fellowship/USA, 1350 Deming Way, Suite 300, Middleton, WI 53562",2018-03-07,2018-05-22,2
Rainbow Resource Center,2018-04-01,2018-05-16,10
Pizzahut.com,2018-04-01,2018-05-16,1
Ladder 15,2018-04-01,2018-05-16,1
The Beauty Place Inc,2018-04-01,2018-05-16,3
"Task Rabbit Inc., 425 Second Street, 5th Floor, San Francisco, CA 94107",2018-04-11,2018-05-14,6361
"DigiPen Institute of Technology, 9931 Willows Road NE, Redmond, WA 98052",2018-04-25,2018-05-08,1
"Rx Valet, LLC, 1580 Atkinson Road, Lawrenceville, Geoargia 30043",2017-12-01,2018-05-04,1
"CNU of Maine, LLC and its affiliates, collectively d/b/a CashNetUSA, 175 W. Jackson Blvd., Suite 1000, Chicago, IL  60604",2018-02-20,2018-04-23,16
"American Esoteric Laboratories, 1701 Century Center Cove, Memphis, TN 38134",2017-10-15,2018-04-20,4
"Tech Needs North, Inc.",2018-03-06,2018-04-19,2
Bank of America,2018-01-02,2018-04-17,1
City Winery Boston-Ecommerce,2018-03-01,2018-04-16,7
Construct Playthings.com,2018-03-01,2018-04-16,2
Directvapor.com,2018-03-01,2018-04-16,11
Spark Pay Online,2018-03-01,2018-04-16,14
Sporty's Catalogs,2018-03-01,2018-04-16,29
Terren Corp,2018-03-01,2018-04-16,21
USToy.com,2018-03-01,2018-04-16,1
Vaporfi.com-New,2018-03-01,2018-04-16,1
"Bearing Distributors, Inc. 8000 Hub Parkway, Cleveland, OH 44125",2018-03-30,2018-04-06,1
