02_03_01_Entity Name,03_01_04_Date(s) Breach Occurred (start),Completed Date,03_01_02_Total number of Maine residents affected,03_01_01_Total number of persons affected (including Maine residents)
Welders Supply Company,11/14/2018,1/10/2019,6,859
The City of Port Orange,August 26 2019 ,1/10/2020,3,5615
"Health Quest Systems, Inc.",07/11/2018,1/10/2020,29,61895
The City of Dothan,August 26 2019 ,1/10/2020,3,12774
"Dr. Ben Lynch, LLC",9/8/2018,1/11/2019,4,392
University of Vermont Health Network - Elizabethtown Community Hospital,10/8/2018,1/11/2019,38,32000
"American Financial, Inc.",11/11/2018,1/11/2019,4,1513
"Frontier Wealth Management, LLC",7/2/2018,1/11/2019,13,729
"Burke Law, P.C.",October 2 2018,1/11/2019,3,89
"Imperfect Foods, Inc.",05/13/2019,1/11/2020,2,518237
"Nortrax, Inc.",08/18/2018,1/14/2019,21,64
"A&A Global Imports, Inc.",August 15 2017 ,1/14/2019,735,52441
Auburn University,December 6 2018,1/14/2019,1,155
"Free Speach Systems, LLC",11/12/2018,1/14/2019,5,1290
"ACE Cash Express, Inc.",10/27/2018,1/14/2019,10,4360
NFM Lending,Not stated,1/14/2019,1,Not stated
Westminster College,5/1/2018,1/14/2019,1,1090
"GoldSilver, LLC",9/28/2018,1/14/2019,19,3465
"Hanna Andersson, LLC",9/16/2019,1/14/2020,1341,
Exude Benefits Group,Not stated,1/15/2019,1,Not provided
Century Spring Corp.,July 13 2018 ,1/15/2019,9,2263
"Legalinc Corporate Services, Inc. (as data maintainer) on behalf of Rocket Lawyer Incorporated (as data owner)",10/25/2017,1/15/2020,4,1579
"AgencyONE, LLC",05/14/2019,1/15/2020,3,1763
Hallier Benefit Advisors,09/2019/2019 ,1/15/2020,1,4365
"Aimbridge Hospitality Holdings, LLC",6/7/2018,1/16/2019,30,120573
Blauer Manufacturing Co.,9/13/2018 ,1/16/2019,1,Not stated
"Debany Financial Group, LLC",11/11/2017,1/16/2019,1,121
MJ Insurance,Not provided,1/16/2019,3,Not provided
4A's Benefits,12/6/2017,1/16/2019,1,4711
"JAND Inc., d/b/a Warby Parker",9/25/2018,1/16/2019,163,Not provided
"Benchmade Knife Co., Inc.",9/1/2018,1/16/2019,13,2702
CBTX Inc.,Recently,1/16/2019,2,Not provided
Western Bagel Baking C,November 1 2018,1/16/2019,1,Not provided
RR Bowker LLC,November 1 2018,1/16/2019,2,Not provided
Philadelphia (Five Below),November 1 2018,1/16/2019,1,Not provided
Jason's Deli,November 1 2018,1/16/2019,2,Not provided
Hardwaresource.com,November 1 2018,1/16/2019,3,Not Provided
Dos Amigos Burritos NEWB,November 1 2018,1/16/2019,2,Not Provided
Graeter's Ice Cream,6/28/2018 ,1/17/2019,39,11030
Downtown Rescue Mission,Info not provided,1/17/2019,1,Info not provided
Reliant Rehabilitation,September 13 2018 ,1/17/2019,3,8608
Johnny Appleseed's Inc.,10/17/2018,1/17/2019,4,179
"Capital One, National Association",7/25/2017 ,1/17/2019,3,564
Rosenberg & Manente,June 5 2018,1/17/2019,1,1999
Auburn University,December 6 2018,1/17/2019,1,155
"J.D. England Management, Inc.",08/31/2019 ,1/17/2020,9,10754
Honeybee Health,11/16/2019 ,1/17/2020,10,901
Kermit Lynch Wine Merchant,August 9 2019,1/17/2020,1,319
Wisconsin Historical Society,June 8 2019 ,1/17/2020,1,2206
"Aetrex World Wide, Inc.",8/22/2018,1/18/2019,87,14291
"Prime Life Fibers, Inc.",11/6/2018 ,1/18/2019,2,273
Kermit Lynch Wine Merchant,August 9 2019,1/18/2020,1,319
"The UPS Store, Inc.",09/29/2019 ,1/20/2020,2,17094
"REVA, Inc.",07/23/2019 ,1/22/2020,1,1000
American Councils,2015 ,1/23/2019,2,208
