BUSINESS NAME,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
Walmart,09/14/2021,09/14/2021,10/26/2021,1
Aspen American Insurance Company,12/23/2020,01/27/2021,10/26/2021,4
"C.B. Fleet Company, Inc.",4/11/2021,5/3/2021,10/26/2021,3
University of Maryland Global Campus,10/7/2021,10/7/2021,10/22/2021,28
Columbia College of South Carolina,03/15/2021,03/15/2021,11/4/2021,1
"Electronic Warfare Associates, Inc.",8/2/2021,8/2/2021,11/4/2021,1
"Baywood Medical Associates, PLC dba Desert Pain Institute",7/3/2021,09/13/2021,11/3/2021,24
"Baywood Medical Associates, PLC dba Desert Pain Institute",7/3/2021,09/13/2021,11/3/2021,24
Mowery Clinic,9/8/2021,9/8/2021,11/2/2021,14
Duke Manufacturing Co.,8/10/2021,8/10/2021,10/31/2021,1
"Consolidated Asset Recovery Systems, Inc.",10/9/2021,10/9/2021,10/29/2021,1
"Feucht Financial Group, LLC",9/8/2021,9/8/2021,10/29/2021,3
Sea Mar Community Health Centers,12/1/2020,03/31/2021,10/29/2021,505
"Goldwater Bank, N.A.",05/21/2021,05/21/2021,10/29/2021,25
Womack Machine Supply Co.,09/29/2021,09/29/2021,10/29/2021,14
"AGI Publishing, Inc.",9/11/2021,9/11/2021,10/29/2021,9
Certified Automotive Lease Corp. dba CAL Automotive,09/18/2021,09/18/2021,10/29/2021,1
"Viverant PT, LLC",3/9/2021,3/9/2021,10/29/2021,1
Nationwide Laboratory Services,05/19/2021,05/19/2021,10/28/2021,2
"The Dolben Company, Inc.",4/3/2021,4/6/2021,10/28/2021,1
Putnam County Memorial Hospital,07/16/2021,07/18/2021,10/27/2021,2
"Primary Residential Mortgage, Inc.",8/8/2021,8/8/2021,10/27/2021,48
Gateway Financial Solutions,11/12/2021,12/6/2020,10/27/2021,10
"SI Group, Inc.",8/9/2021,08/14/2021,10/26/2021,4
"Jones Plastic & Engineering Company, LLC",05/27/2021,6/12/2021,11/11/2021,1
City College,08/16/2021,08/16/2021,11/11/2021,3
Opportunity Council,02/18/2021,06/29/2021,11/10/2021,1
"Cyprexx Services, LLC",05/20/2021,6/10/2021,11/10/2021,1
Bronwick Benjamin PC,05/26/2021,05/26/2021,11/10/2021,2
Christensen O'Connor Johnson Kindness PLLC,12/24/2020,02/15/2021,11/10/2021,1
City of Titusville,11/19/2020,02/18/2021,11/10/2021,1
Hoffman Construction Group,07/31/2020,8/4/2020,11/9/2021,44
InvestX Capital Ltd.,09/24/2021,09/24/2021,11/9/2021,2
"Vitreo-Retinal Medical Group, Inc.",7/12/2021,7/12/2021,11/9/2021,1
"Postlethwaite & Netterville,",01/21/2021,03/23/2021,11/8/2021,1
Van Eerden Food Services,10/7/2021,10/7/2021,11/5/2021,1
Insureon Holdings LLC,9/1/2021,9/12/2021,11/5/2021,1
"CopperPoint Insurance Company, Pacific Compensation Insurance Company, and Alaska National Insurance Company",07/22/2021,07/22/2021,11/5/2021,8
Interstate Equities Corporation,09/24/2021,09/24/2021,11/5/2021,2
United Wheels Inc.,06/29/2021,06/30/2021,11/5/2021,16
Potawatomi Business Development Corporation,07/15/2021,07/15/2021,11/5/2021,1
BPG Real Estate Services,08/29/2021,9/2/2021,11/4/2021,4
ISO Claims Services,09/27/2021,09/27/2021,11/4/2021,45
Maxim Healthcare Group,10/30/2020,12/4/2020,11/4/2021,5
Episcopal Retirement Services,09/24/2021,10/22/2021,11/19/2021,1
"615 Title, LLC",06/25/2021,8/4/2021,11/19/2021,1
