Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
1/7/2022,"BearTooth Mapping, Inc.",11/13/2021,4774,Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
1/4/2022,Fertility Centers of Illinois,01/15/2021,7,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
1/3/2022,Ravkoo,,5729,Name; Full Date of Birth; Medical Information
1/2/2022,North Broward Hospital District d/b/a Broward Health,10/15/2021,1168,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Email Address and Password/Security Question Answers
12/20/2021,"J.C. Penney Corporation, Inc. Pension Plan",08/17/2021,1147,Name; Full Date of Birth; Other
12/17/2021,"Tennis Warehouse, LLC",10/1/2021,14259,Financial & Banking Information
12/17/2021,"Skate Warehouse, LLC",10/1/2021,5866,Financial & Banking Information
12/17/2021,"Running Warehouse, LLC",10/1/2021,12795,Financial & Banking Information
12/17/2021,"Tackle Warehouse, LLC",10/1/2021,6953,Financial & Banking Information
12/17/2021,Heirloom Roses,2/12/2021,3118,Name; Financial & Banking Information
12/17/2021,Integrated Services of Kalamazoo,03/29/2021,1,Name; Social Security Number; Financial & Banking Information; Unique Private Key (e.g. used to authenticate or sign an electronic record); Email Address and Password/Security Question Answers
12/16/2021,"Cirrus Asset Management, Inc.",11/11/2021,568,Name; Social Security Number
12/10/2021,"BioPlus Specialty Pharmacy Services, LLC",10/25/2021,13357,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/1/2021,"HealthCare, Inc.",09/19/2021,625,Name; Full Date of Birth
11/30/2021,"Cedar Grove Composting, Inc.",8/8/2021,1596,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number; Medical Information
11/29/2021,"DNA Diagnostics Center, Inc.",05/24/2021,4278,Name; Social Security Number; Financial & Banking Information
11/23/2021,"GoDaddy.com, LLC",9/6/2021,9581,Unique Private Key (e.g. used to authenticate or sign an electronic record); Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
11/22/2021,Boeing Employees Credit Union,10/9/2021,657,Name; Financial & Banking Information; Other
11/22/2021,Astoria Company LLC,01/19/2021,22095,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
11/18/2021,"Utah Imaging Associates, Inc.",08/29/2021,895,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/16/2021,"Diode Dynamics, L.L.C.",09/26/2020,1462,Name; Financial & Banking Information
11/15/2021,Sea Mar Community Health Centers,,628569,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/11/2021,Opportunity Council,02/18/2021,664,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number
11/10/2021,Christensen O’Connor Johnson Kindness PLLC,12/24/2020,815,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
11/8/2021,"Insureon Holdings, LLC",,671,Name; Social Security Number; Full Date of Birth
10/29/2021,"Goldwater Bank, N.A.",05/21/2021,762,Name; Social Security Number; Financial & Banking Information
10/28/2021,"Terrier Media Buyer, Inc. dba Cox Media Group",6/3/2021,649,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
10/27/2021,Primary Residential Mortgage,,1712,Name; Social Security Number; Driver's License or Washington ID Card Number
10/21/2021,"Wallick & Volk, Inc.",8/2/2021,1625,Name; Social Security Number; Financial & Banking Information
10/21/2021,"SCUF Gaming International, LLC",2/3/2021,691,Name; Financial & Banking Information; Email Address and Password/Security Question Answers
10/20/2021,Abeo Solutions Inc. d/b/a Crystal Practice Management,,6141,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Biometric Data
10/20/2021,Buddhist Tzu Chi Foundation,07/15/2021,582,Name; Social Security Number; Email Address and Password/Security Question Answers
10/20/2021,"J.B. Hunt Transport, Inc.",08/17/2020,3798,Name; Social Security Number
10/18/2021,World Travel Holdings,7/1/2021,1692,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Username and Password/Security Question Answers
10/14/2021,The Public School and Education Employees Retirement Systems,9/11/2021,532,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
10/14/2021,"Elevated Title, LLC ",07/21/2020,685,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
10/13/2021,American Osteopathic Association,06/25/2020,4253,Social Security Number; Financial & Banking Information; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
10/11/2021,University Medical Center of Southern Nevada (UMC),06/14/2021,3572,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/8/2021,Smile Brands Inc.,04/23/2021,19235,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/8/2021,"ReproSource Fertility Diagnostics, Inc.",8/8/2021,6572,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/4/2021,Royell Manufacturing,7/1/2021,1145,Name; Social Security Number; Financial & Banking Information
09/30/2021,"The Neiman Marcus Group, LLC (“NMG” or the “Company”)",5/2/2020,67410,Name; Financial & Banking Information; Username and Password/Security Question Answers
09/30/2021,LPL Financial LLC,07/26/2021,992,Name; Social Security Number; Financial & Banking Information; Health Insurance Policy or ID Number; Medical Information
09/28/2021,"Wm. G. Roe & Sons, Inc.",6/9/2021,25,Name; Social Security Number
09/24/2021,"Hattrup & Associates, P.S.",,2839,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
09/24/2021,Zenith American Solutions,9/9/2021,1687,Name; Social Security Number
09/22/2021,"Epik Holdings, Inc.",09/13/2021,2040,Name; Financial & Banking Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
09/21/2021,"Dick Blick Holdings, Inc.",3/11/2020,690,Name; Financial & Banking Information
9/3/2021,Famous Smoke Shop,7/7/2021,32950,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
08/30/2021,"Hyphen, LLC",03/13/2021,1331,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
08/27/2021,"CareATC, Inc.",06/18/2021,600,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
08/24/2021,"SmartStart Employment Screening, Inc.",,639,Name; Social Security Number
08/24/2021,T-Mobile USA,07/22/2021,Unknown,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number
08/23/2021,"American Freight, LLC",11/24/2020,876,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Health Insurance Policy or ID Number; Medical Information
08/20/2021,South Florida Community Care Network LLC,10/27/2020,6,Name; Health Insurance Policy or ID Number; Medical Information
08/17/2021,"BackNine Insurance and Financial Services, Inc.",,866,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information; Other
08/13/2021,Destination Maternity,03/16/2021,2237,Name; Social Security Number; Financial & Banking Information
8/9/2021,"Spreadshirt, Inc.",,911,Name; Financial & Banking Information
8/6/2021,"Ibex Global Solutions, Inc. (“Ibex”)",07/27/2020,891,Name; Social Security Number; Full Date of Birth; Medical Information
8/6/2021,Cohen Milstein Sellers & Toll PLLC,01/23/2021,3956,Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
8/4/2021,Renton Regional Fire Authority,02/19/2021,1334,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
07/30/2021,WSSC Water,05/24/2021,Unknown,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
07/30/2021,Mandere Construction / Northwestern Building Components,,781,Name; Social Security Number
07/30/2021,Motor Trend Group LLC,06/19/2021,Unknown,Name; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
07/26/2021,Transform SR Holding Management LLC,6/3/2021,Unknown,Name; Social Security Number; Financial & Banking Information; Health Insurance Policy or ID Number
07/23/2021,Carnival Corporation and Plc,12/25/2020,3,Financial & Banking Information; Full Date of Birth; Medical Information
07/23/2021,Savory Spice,4/5/2018,2785,Name; Financial & Banking Information
07/14/2021,"Resort Data Processing, Inc.",02/22/2021,1669,Name; Financial & Banking Information; Email Address and Password/Security Question Answers
07/13/2021,"Arthur J. Gallagher & Co. (First Specialty Insurance Corp., Arch Insurance Co., Continental Casualty Co., Greenwich Insurance Co., Old Republic Insurance Co., First Group America, Inc., Mitsui Sumitomo Insurance Co., AmGUARD, EastGUARD, and NorGUARD Insurance Companies)",6/3/2020,72378,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
07/13/2021,King County Public Health Hospital District No. 2 Dba Evergreen Health,,20215,Name; Full Date of Birth; Health Insurance Policy or ID Number; Other
7/12/2021,Clover Park School District,5/12/2021,5872,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
7/9/2021,"CSI Financial Services, LLC",3/8/2021,4255,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Other
7/8/2021,"Forefront Management, LLC and Forefront Dermatology, S.C.",05/28/2021,877,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
7/8/2021,CNA Financial Corporation,3/5/2021,823,Name; Social Security Number; Full Date of Birth; Medical Information; Other
7/6/2021,UniBank,6/9/2021,11276,Name; Social Security Number; Driver's License or Washington ID Card Number
7/2/2021,Morgan Stanley,,2080,Name; Social Security Number; Full Date of Birth; Other
7/2/2021,"The Paradies Shops, LLC",10/8/2020,657,Name; Financial & Banking Information
7/1/2021,"Nevada Restaurant Services, Inc.",,3241,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number
06/30/2021,Marsh McLennan,04/22/2021,2550,Name; Social Security Number; Driver's License or Washington ID Card Number; Passport Number; Health Insurance Policy or ID Number; Other
06/28/2021,"Ankle and Foot Physicians and Surgeons, PLLC",04/25/2021,4996,Name; Social Security Number; Full Date of Birth; Other
06/24/2021,Washington State Department of Labor & Industries,,16466,Name; Full Date of Birth; Other
06/23/2021,"Asset Marketing Services, LLC d/b/a GovMint.com",05/21/2020,1332,Name; Financial & Banking Information; Other
06/22/2021,Made In Oregon,9/1/2020,840,Name; Financial & Banking Information; Email Address and Password/Security Question Answers
06/22/2021,Amgen Inc.,04/21/2021,1179,Name; Other
06/22/2021,Royal Caribbean Group,,502,Name; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Other
06/18/2021,"Herff Jones, LLC",08/16/2020,17316,Name; Financial & Banking Information; Other
06/18/2021,"Maximus, Inc.",05/17/2021,2560,Name; Social Security Number; Full Date of Birth; Other
06/16/2021,Buffalo State College Foundation,2/7/2020,536,Name; Full Date of Birth
06/15/2021,Washington State Department of Labor & Industries,,3000,Name; Other
6/11/2021,Sincera Reproductive Medicine,8/10/2020,9,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/8/2021,"Progrexion ASG, Inc.",,150,Name; Financial & Banking Information; Other
6/4/2021,"Pediatrix Cardiology of Washington, P.C. d/b/a NorthWest Congenital Heart Care",5/7/2021,1136,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/4/2021,Providence Health Plan,03/22/2021,220,Name; Full Date of Birth; Health Insurance Policy or ID Number; Other
6/3/2021,Supplemental Income 401(k) Plan,03/22/2021,1085,Name; Social Security Number; Full Date of Birth; Other
6/2/2021,"Asarco, LLC",3/1/2021,670,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Other
6/1/2021,American Councils for International Education,04/21/2021,119,Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
05/28/2021,Osborn Cancer Care,2/10/2021,4305,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information
05/28/2021,"20/20 Eye Care Network, Inc.",1/11/2021,690,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
