Name.of.Company,Date.of.Breach,Reported.Date,state,State.Residents.Affected
"Xanitos, Inc.",2021-05-06,2021-12-30,CA,500
Barlow Respiratory Hospital,2021-08-21,2021-12-30,CA,500
The Marker Group Inc.,2021-09-03,2021-12-30,CA,500
Visalia Unified School District,2021-01-01,2021-12-30,CA,500
"Innovations Group, Inc., a subsidiary of UpHealth, Inc.",2021-10-27,2021-12-23,CA,500
"Fiondella, Milone & LaSaracina LLP, on behalf of relevant data owner(s)",2021-09-09,2021-12-23,CA,500
Health Net,2021-09-12,2021-12-22,CA,500
City of Sebastopol,2021-04-28,2021-12-22,CA,500
Pro Wrestling Tees,2021-04-01,2021-12-22,CA,500
University of Southern California,2021-09-28,2021-12-22,CA,500
Monterey Peninsula Unified School District,2021-11-01,2021-12-21,CA,500
"BearTooth Mapping, Inc.",2021-11-13,2021-12-21,CA,500
"Tennis Warehouse, LLC",2021-10-01,2021-12-18,CA,500
"Skate Warehouse, LLC",2021-10-01,2021-12-18,CA,500
"Tackle Warehouse, LLC",2021-10-01,2021-12-18,CA,500
"Running Warehouse, LLC",2021-10-01,2021-12-18,CA,500
Heirloom Roses,2021-02-24,2021-12-17,CA,500
"Index Fund Advisors, Inc.",2021-08-05,2021-12-17,CA,500
McGrath RentCorp,2021-07-17,2021-12-15,CA,500
Sound Generations,2021-07-18,2021-12-15,CA,500
"Cirrus Asset Management, Inc. ",2021-11-11,2021-12-15,CA,500
Lozano Smith,2020-01-01,2021-12-14,CA,500
California Physicians' Services d/b/a Blue Shield of California,2021-01-20,2021-12-13,CA,500
"BioPlus Specialty Pharmacy Services, LLC",2021-10-25,2021-12-10,CA,500
County of Monterey ,2021-08-25,2021-12-10,CA,500
The Travelers Indemnity Company,2021-04-07,2021-12-10,CA,500
"Allergy Partners, PLLC",2021-01-12,2021-12-09,CA,500
"Mor Furniture for Less, Inc.",2021-07-13,2021-12-09,CA,500
East Bay Paratransit,2021-08-06,2021-12-09,CA,500
Seneca Family of Agencies ,2021-08-25,2021-12-06,CA,500
Humana Inc,2021-08-25,2021-12-06,CA,500
Nippon Life Insurance Company of America,2021-10-05,2021-12-03,CA,500
Keolis Transit America,2021-01-04,2021-12-03,CA,500
American Council for International Studies ,2021-05-25,2021-12-03,CA,500
California Correctional Health Care Services,2021-09-03,2021-12-02,CA,500
Planned Parenthood Los Angeles,2021-10-09,2021-11-30,CA,500
"Bansley and Kiener, L.L.P.",2020-08-20,2021-11-30,CA,500
"DNA Diagnostics Center, Inc.",2021-05-24,2021-11-29,CA,500
Lincare Holdings Inc.,2021-09-10,2021-11-24,CA,500
Anthem Blue Cross,2021-10-01,2021-11-24,CA,500
Local 2/Hospitality Industry Child and Elder Care Plan,2021-11-02,2021-11-23,CA,500
"GoDaddy.com, LLC",2021-09-06,2021-11-23,CA,500
Astoria Company LLC,2021-01-19,2021-11-22,CA,500
One Community Health,2021-04-19,2021-11-22,CA,500
"ACE Surgical Supply Co., Inc.",2021-06-29,2021-11-19,CA,500
"PAL Card Minnesota, LLC ",2021-09-28,2021-11-19,CA,500
"Pawn America Minnesota, LLC",2021-09-28,2021-11-19,CA,500
"Utah Imaging Associates, Inc.",2021-08-29,2021-11-18,CA,500
"Next Peak CPA, Inc.",2021-02-18,2021-11-18,CA,500
San Francisco Symphony,2021-09-07,2021-11-17,CA,500
PUC National,2021-01-26,2021-11-17,CA,500
"Alcon Vision, LLC",2021-10-05,2021-11-16,CA,500
Quest Diagnostics,2021-10-29,2021-11-16,CA,500
"Diode Dynamics, L.L.C.",2020-09-26,2021-11-16,CA,500
California Pizza Kitchen,2021-09-15,2021-11-15,CA,500
Olympus Corporation of the Americas,2021-10-10,2021-11-15,CA,500
San Luis Obispo County YMCA,2021-07-19,2021-11-12,CA,500
"The Urology Center of Colorado (""TUCC"")",2021-09-07,2021-11-10,CA,500
Valley Mountain Regional Center,2021-09-15,2021-11-09,CA,500
"Vitreo-Retinal Medical Group, Inc. d/b/a Retinal Consultants Medical Group ",2021-07-12,2021-11-09,CA,500
Cambro Manufacturing,2021-08-11,2021-11-09,CA,500
Lab Logistics,2021-07-12,2021-11-09,CA,500
Sea Mar Community Health Centers,2020-12-12,2021-11-05,CA,500
Lodi Unified School District,2021-09-20,2021-11-05,CA,500
University of Maryland Global Campus,2021-10-07,2021-11-05,CA,500
"Strategic Benefits Advisors, Inc.",2021-09-18,2021-11-05,CA,500
Maxim Healthcare Group,2020-10-01,2021-11-04,CA,500
GMGS Risk Management & Insurance Services,2020-12-21,2021-11-02,CA,500
"Goldwater Bank, N.A.",2021-05-21,2021-10-29,CA,500
"AGI Publishing, Inc. (d/b/a Valley Yellow Pages)",2021-09-11,2021-10-29,CA,500
BPM LLP,2020-11-11,2021-10-28,CA,500
Gorilla Circuits,2021-08-18,2021-10-28,CA,500
"Anthem, Inc.",2021-08-03,2021-10-28,CA,500
CalOptima,2021-08-10,2021-10-27,CA,500
"Amin Dean, CPA",2021-07-08,2021-10-27,CA,500
"Primary Residential Mortgage, Inc. (“PRMI”)",2021-08-08,2021-10-27,CA,500
Blue Shield of California,2021-08-25,2021-10-27,CA,500
Employee Benefits Administration & Management (“EBA&M”),2021-06-04,2021-10-26,CA,500
Seneca Family of Agencies,2021-08-25,2021-10-26,CA,500
"Community Medical Centers, Inc.",2021-10-10,2021-10-26,CA,500
Blue Cross of California,2021-08-25,2021-10-26,CA,500
Foundation for Medical Care of Merced County,2021-08-03,2021-10-26,CA,500
"Sheridan Production Company III, LLC",2021-08-14,2021-10-25,CA,500
Centinela Valley Union High School District,2021-06-22,2021-10-21,CA,500
"SCUF Gaming International, LLC",2021-02-23,2021-10-21,CA,500
"Wallick & Volk, Inc.",2021-08-02,2021-10-20,CA,500
Valley Truck and Tractor Company,2021-05-13,2021-10-20,CA,500
"J.B. Hunt Transport, Inc.",2020-08-17,2021-10-20,CA,500
PracticeMax Inc.,2021-04-17,2021-10-19,CA,500
Carnival Corporation and plc,2021-03-12,2021-10-18,CA,500
World Travel Holdings,2021-07-01,2021-10-18,CA,500
"University Medical Center of Southern Nevada (""UMC"")",2021-06-14,2021-10-15,CA,500
"Anthem, Inc.",2021-05-01,2021-10-15,CA,500
