Xij,i,j,c,i_fac,all,CA500,IN500,MT500,ME500,ND500,WA500,DE500,OR250,IN250,MT250,ME250,ND250,IN1,MT1,ME1
7,1,1,1,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,2,2,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,3,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,4,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,5,5,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,6,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,7,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,8,8,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,9,9,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,10,10,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,11,11,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,12,12,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,13,13,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,14,14,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,15,15,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,16,16,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,17,17,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,18,18,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,19,19,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,20,20,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,21,21,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,22,22,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,23,23,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,24,24,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,25,25,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,26,26,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,27,27,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,28,28,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,29,29,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,30,30,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,31,31,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,32,32,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,33,33,1,CA500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
